"File_Name","File_Path","Relative_Path","URL","Artist","Title","Album","Genre","Year","Decade","Duration_Seconds","Duration_Minutes","Duration_Display","Estimated_BPM","File_Size_MB","BPM_Category","Energy_Level","Duration_Category","Folder_Structure","Track_ID","Is_Favorite","Play_Count","Last_Played","Rating","Tags","Notes","Server_Required","Server_URL"
"08 Sun Down.mp3","http://localhost:8000/Behind%20the%20Eye/08%20Sun%20Down.mp3","Behind the Eye\08 Sun Down.mp3","http://localhost:8000/Behind%20the%20Eye/08%20Sun%20Down.mp3","Behind the Eye","08 Sun Down","Unknown Album","Unknown","","Unknown","530","8.8","8:50","98","12.73","Medium (70-99)","Medium","Long (Over 5 min)","Behind the Eye","38","False","0","","0","","","True","http://localhost:8000"
"09 Cosmos.mp3","http://localhost:8000/Behind%20the%20Eye/09%20Cosmos.mp3","Behind the Eye\09 Cosmos.mp3","http://localhost:8000/Behind%20the%20Eye/09%20Cosmos.mp3","Behind the Eye","09 Cosmos","Unknown Album","Unknown","","Unknown","535","8.9","8:55","100","12.65","Upbeat (100-129)","Medium","Long (Over 5 min)","Behind the Eye","39","False","0","","0","","","True","http://localhost:8000"
"10 Synfonica.mp3","http://localhost:8000/Behind%20the%20Eye/10%20Synfonica.mp3","Behind the Eye\10 Synfonica.mp3","http://localhost:8000/Behind%20the%20Eye/10%20Synfonica.mp3","Behind the Eye","10 Synfonica","Unknown Album","Unknown","","Unknown","354","5.9","5:54","90","8.41","Medium (70-99)","Medium","Long (Over 5 min)","Behind the Eye","40","False","0","","0","","","True","http://localhost:8000"
"01 Fight Outta You.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/01%20Fight%20Outta%20You.mp3","Ben Harper & the Innocent Criminals\Lifeline\01 Fight Outta You.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/01%20Fight%20Outta%20You.mp3","Ben Harper & the Innocent Criminals","01 Fight Outta You","Lifeline","Unknown","","Unknown","250","4.2","4:10","116","5.53","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","41","False","0","","0","","","True","http://localhost:8000"
"02 In the Colors.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/02%20In%20the%20Colors.mp3","Ben Harper & the Innocent Criminals\Lifeline\02 In the Colors.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/02%20In%20the%20Colors.mp3","Ben Harper & the Innocent Criminals","02 In the Colors","Lifeline","Unknown","","Unknown","177","3","2:57","100","3.83","Upbeat (100-129)","Medium","Short (Under 3 min)","Ben Harper & the Innocent Criminals\Lifeline","42","False","0","","0","","","True","http://localhost:8000"
"03 Fool for a Lonesome Train.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/03%20Fool%20for%20a%20Lonesome%20Train.mp3","Ben Harper & the Innocent Criminals\Lifeline\03 Fool for a Lonesome Train.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/03%20Fool%20for%20a%20Lonesome%20Train.mp3","Ben Harper & the Innocent Criminals","03 Fool for a Lonesome Train","Lifeline","Unknown","","Unknown","209","3.5","3:29","98","4.76","Medium (70-99)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","43","False","0","","0","","","True","http://localhost:8000"
"04 Needed You Tonight.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/04%20Needed%20You%20Tonight.mp3","Ben Harper & the Innocent Criminals\Lifeline\04 Needed You Tonight.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/04%20Needed%20You%20Tonight.mp3","Ben Harper & the Innocent Criminals","04 Needed You Tonight","Lifeline","Unknown","","Unknown","165","2.8","2:45","111","3.85","Upbeat (100-129)","Medium","Short (Under 3 min)","Ben Harper & the Innocent Criminals\Lifeline","44","False","0","","0","","","True","http://localhost:8000"
"05 Having Wings.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/05%20Having%20Wings.mp3","Ben Harper & the Innocent Criminals\Lifeline\05 Having Wings.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/05%20Having%20Wings.mp3","Ben Harper & the Innocent Criminals","05 Having Wings","Lifeline","Unknown","","Unknown","206","3.4","3:26","117","4.77","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","45","False","0","","0","","","True","http://localhost:8000"
"06 Say You Will.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/06%20Say%20You%20Will.mp3","Ben Harper & the Innocent Criminals\Lifeline\06 Say You Will.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/06%20Say%20You%20Will.mp3","Ben Harper & the Innocent Criminals","06 Say You Will","Lifeline","Unknown","","Unknown","177","3","2:57","115","4.45","Upbeat (100-129)","Medium","Short (Under 3 min)","Ben Harper & the Innocent Criminals\Lifeline","46","False","0","","0","","","True","http://localhost:8000"
"07 Younger Than Today.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/07%20Younger%20Than%20Today.mp3","Ben Harper & the Innocent Criminals\Lifeline\07 Younger Than Today.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/07%20Younger%20Than%20Today.mp3","Ben Harper & the Innocent Criminals","07 Younger Than Today","Lifeline","Unknown","","Unknown","204","3.4","3:24","102","4.05","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","47","False","0","","0","","","True","http://localhost:8000"
"08 Put It on Me.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/08%20Put%20It%20on%20Me.mp3","Ben Harper & the Innocent Criminals\Lifeline\08 Put It on Me.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/08%20Put%20It%20on%20Me.mp3","Ben Harper & the Innocent Criminals","08 Put It on Me","Lifeline","Unknown","","Unknown","210","3.5","3:30","106","5.18","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","48","False","0","","0","","","True","http://localhost:8000"
"09 Heart of Matters.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/09%20Heart%20of%20Matters.mp3","Ben Harper & the Innocent Criminals\Lifeline\09 Heart of Matters.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/09%20Heart%20of%20Matters.mp3","Ben Harper & the Innocent Criminals","09 Heart of Matters","Lifeline","Unknown","","Unknown","270","4.5","4:30","106","6.2","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","49","False","0","","0","","","True","http://localhost:8000"
"11 Lifeline.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/11%20Lifeline.mp3","Ben Harper & the Innocent Criminals\Lifeline\11 Lifeline.mp3","http://localhost:8000/Ben%20Harper%20&%20the%20Innocent%20Criminals/Lifeline/11%20Lifeline.mp3","Ben Harper & the Innocent Criminals","11 Lifeline","Lifeline","Unknown","","Unknown","268","4.5","4:28","119","4.61","Upbeat (100-129)","Medium","Medium (3-5 min)","Ben Harper & the Innocent Criminals\Lifeline","51","False","0","","0","","","True","http://localhost:8000"
"01 Track 1.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/01%20Track%201.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\01 Track 1.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/01%20Track%201.mp3","Beniamino Gigli","01 Track 1","The Very Best of Beniamino Gigli","Unknown","","Unknown","273","4.6","4:33","107","3.6","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","52","False","0","","0","","","True","http://localhost:8000"
"02 Track 2.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/02%20Track%202.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\02 Track 2.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/02%20Track%202.mp3","Beniamino Gigli","02 Track 2","The Very Best of Beniamino Gigli","Unknown","","Unknown","138","2.3","2:18","118","1.72","Upbeat (100-129)","Medium","Short (Under 3 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","53","False","0","","0","","","True","http://localhost:8000"
"03 Track 3.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/03%20Track%203.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\03 Track 3.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/03%20Track%203.mp3","Beniamino Gigli","03 Track 3","The Very Best of Beniamino Gigli","Unknown","","Unknown","265","4.4","4:25","91","3.41","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","54","False","0","","0","","","True","http://localhost:8000"
"04 Track 4.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/04%20Track%204.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\04 Track 4.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/04%20Track%204.mp3","Beniamino Gigli","04 Track 4","The Very Best of Beniamino Gigli","Unknown","","Unknown","284","4.7","4:44","94","3.88","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","55","False","0","","0","","","True","http://localhost:8000"
"05 Track 5.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/05%20Track%205.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\05 Track 5.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/05%20Track%205.mp3","Beniamino Gigli","05 Track 5","The Very Best of Beniamino Gigli","Unknown","","Unknown","213","3.6","3:33","101","2.75","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","56","False","0","","0","","","True","http://localhost:8000"
"06 Track 6.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/06%20Track%206.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\06 Track 6.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/06%20Track%206.mp3","Beniamino Gigli","06 Track 6","The Very Best of Beniamino Gigli","Unknown","","Unknown","274","4.6","4:34","98","3.54","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","57","False","0","","0","","","True","http://localhost:8000"
"07 Track 7.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/07%20Track%207.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\07 Track 7.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/07%20Track%207.mp3","Beniamino Gigli","07 Track 7","The Very Best of Beniamino Gigli","Unknown","","Unknown","167","2.8","2:47","94","2.16","Medium (70-99)","Medium","Short (Under 3 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","58","False","0","","0","","","True","http://localhost:8000"
"08 Track 8.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/08%20Track%208.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\08 Track 8.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/08%20Track%208.mp3","Beniamino Gigli","08 Track 8","The Very Best of Beniamino Gigli","Unknown","","Unknown","165","2.8","2:45","102","1.91","Upbeat (100-129)","Medium","Short (Under 3 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","59","False","0","","0","","","True","http://localhost:8000"
"09 Track 9.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/09%20Track%209.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\09 Track 9.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/09%20Track%209.mp3","Beniamino Gigli","09 Track 9","The Very Best of Beniamino Gigli","Unknown","","Unknown","184","3.1","3:04","115","2.41","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","60","False","0","","0","","","True","http://localhost:8000"
"10 Track 10.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/10%20Track%2010.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\10 Track 10.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/10%20Track%2010.mp3","Beniamino Gigli","10 Track 10","The Very Best of Beniamino Gigli","Unknown","","Unknown","213","3.6","3:33","94","2.75","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","61","False","0","","0","","","True","http://localhost:8000"
"11 Track 11.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/11%20Track%2011.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\11 Track 11.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/11%20Track%2011.mp3","Beniamino Gigli","11 Track 11","The Very Best of Beniamino Gigli","Unknown","","Unknown","209","3.5","3:29","91","2.83","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","62","False","0","","0","","","True","http://localhost:8000"
"12 Track 12.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/12%20Track%2012.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\12 Track 12.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/12%20Track%2012.mp3","Beniamino Gigli","12 Track 12","The Very Best of Beniamino Gigli","Unknown","","Unknown","287","4.8","4:47","96","3.8","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","63","False","0","","0","","","True","http://localhost:8000"
"13 Track 13.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/13%20Track%2013.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\13 Track 13.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/13%20Track%2013.mp3","Beniamino Gigli","13 Track 13","The Very Best of Beniamino Gigli","Unknown","","Unknown","238","4","3:58","96","3.06","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","64","False","0","","0","","","True","http://localhost:8000"
"14 Track 14.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/14%20Track%2014.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\14 Track 14.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/14%20Track%2014.mp3","Beniamino Gigli","14 Track 14","The Very Best of Beniamino Gigli","Unknown","","Unknown","198","3.3","3:18","117","2.6","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","65","False","0","","0","","","True","http://localhost:8000"
"15 Track 15.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/15%20Track%2015.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\15 Track 15.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/15%20Track%2015.mp3","Beniamino Gigli","15 Track 15","The Very Best of Beniamino Gigli","Unknown","","Unknown","259","4.3","4:19","106","2.95","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","66","False","0","","0","","","True","http://localhost:8000"
"16 Track 16.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/16%20Track%2016.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\16 Track 16.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/16%20Track%2016.mp3","Beniamino Gigli","16 Track 16","The Very Best of Beniamino Gigli","Unknown","","Unknown","237","4","3:57","117","3.07","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","67","False","0","","0","","","True","http://localhost:8000"
"17 Track 17.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/17%20Track%2017.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\17 Track 17.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/17%20Track%2017.mp3","Beniamino Gigli","17 Track 17","The Very Best of Beniamino Gigli","Unknown","","Unknown","227","3.8","3:47","110","2.92","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","68","False","0","","0","","","True","http://localhost:8000"
"18 Track 18.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/18%20Track%2018.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\18 Track 18.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/18%20Track%2018.mp3","Beniamino Gigli","18 Track 18","The Very Best of Beniamino Gigli","Unknown","","Unknown","273","4.6","4:33","107","3.49","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","69","False","0","","0","","","True","http://localhost:8000"
"19 Track 19.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/19%20Track%2019.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\19 Track 19.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/19%20Track%2019.mp3","Beniamino Gigli","19 Track 19","The Very Best of Beniamino Gigli","Unknown","","Unknown","235","3.9","3:55","109","2.94","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","70","False","0","","0","","","True","http://localhost:8000"
"20 Track 20.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/20%20Track%2020.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli\20 Track 20.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli/20%20Track%2020.mp3","Beniamino Gigli","20 Track 20","The Very Best of Beniamino Gigli","Unknown","","Unknown","165","2.8","2:45","95","2.36","Medium (70-99)","Medium","Short (Under 3 min)","Beniamino Gigli\The Very Best of Beniamino Gigli","71","False","0","","0","","","True","http://localhost:8000"
"01 Track 1.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/01%20Track%201.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2\01 Track 1.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/01%20Track%201.mp3","Beniamino Gigli","01 Track 1","The Very Best of Beniamino Gigli Disc 2","Unknown","","Unknown","184","3.1","3:04","101","2.01","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2","72","False","0","","0","","","True","http://localhost:8000"
"02 La Serenata.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/02%20La%20Serenata.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2\02 La Serenata.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/02%20La%20Serenata.mp3","Beniamino Gigli","02 La Serenata","The Very Best of Beniamino Gigli Disc 2","Unknown","","Unknown","217","3.6","3:37","99","2.28","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2","73","False","0","","0","","","True","http://localhost:8000"
"03 La Danza.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/03%20La%20Danza.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2\03 La Danza.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/03%20La%20Danza.mp3","Beniamino Gigli","03 La Danza","The Very Best of Beniamino Gigli Disc 2","Unknown","","Unknown","184","3.1","3:04","106","2.08","Upbeat (100-129)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2","74","False","0","","0","","","True","http://localhost:8000"
"04 Aprile.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/04%20Aprile.mp3","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2\04 Aprile.mp3","http://localhost:8000/Beniamino%20Gigli/The%20Very%20Best%20of%20Beniamino%20Gigli%20Disc%202/04%20Aprile.mp3","Beniamino Gigli","04 Aprile","The Very Best of Beniamino Gigli Disc 2","Unknown","","Unknown","244","4.1","4:04","92","2.65","Medium (70-99)","Medium","Medium (3-5 min)","Beniamino Gigli\The Very Best of Beniamino Gigli Disc 2","75","False","0","","0","","","True","http://localhost:8000"
